benchmark,experiment,num_dpus,num_tasklets,data_prep_params,dpu_build_options_json,setting_id,instructions_lower,instructions_upper,instructions_midpoint,exact,instruction_scope,unexpanded_callees,result_path,machine_cfg_validation_status
SCAN-SSA,dpu_sweep,1,16,1048576,"{""BL"":10,""TYPE"":""INT64""}",dpu_sweep_SCAN-SSA_dpu1_tasklets16_size1048576,13375295,14443383,13909339,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry,dpu_sweep_SCAN-SSA_dpu1_tasklets16_size1048576/result.json,match
SCAN-SSA,dpu_sweep,4,16,1048576,"{""BL"":10,""TYPE"":""INT64""}",dpu_sweep_SCAN-SSA_dpu4_tasklets16_size1048576,3345599,3626487,3486043,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry,dpu_sweep_SCAN-SSA_dpu4_tasklets16_size1048576/result.json,match
SCAN-SSA,dpu_sweep,16,16,1048576,"{""BL"":10,""TYPE"":""INT64""}",dpu_sweep_SCAN-SSA_dpu16_tasklets16_size1048576,838175,922263,880219,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry,dpu_sweep_SCAN-SSA_dpu16_tasklets16_size1048576/result.json,match
SCAN-SSA,dpu_sweep,64,16,1048576,"{""BL"":10,""TYPE"":""INT64""}",dpu_sweep_SCAN-SSA_dpu64_tasklets16_size1048576,211319,246207,228763,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry,dpu_sweep_SCAN-SSA_dpu64_tasklets16_size1048576/result.json,match
SCAN-SSA,tasklet_sweep,1,1,262144,"{""BL"":10,""TYPE"":""INT64""}",tasklet_sweep_SCAN-SSA_dpu1_tasklets1_size262144,3264638,3264661,3264649.5,False,maximum_per_dpu_sum_of_sequential_executions,,tasklet_sweep_SCAN-SSA_dpu1_tasklets1_size262144/result.json,match
SCAN-SSA,tasklet_sweep,1,2,262144,"{""BL"":10,""TYPE"":""INT64""}",tasklet_sweep_SCAN-SSA_dpu1_tasklets2_size262144,3302681,3323365,3313023,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry,tasklet_sweep_SCAN-SSA_dpu1_tasklets2_size262144/result.json,match
SCAN-SSA,tasklet_sweep,1,4,262144,"{""BL"":10,""TYPE"":""INT64""}",tasklet_sweep_SCAN-SSA_dpu1_tasklets4_size262144,3334211,3395643,3364927,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry,tasklet_sweep_SCAN-SSA_dpu1_tasklets4_size262144/result.json,match
SCAN-SSA,tasklet_sweep,1,8,262144,"{""BL"":10,""TYPE"":""INT64""}",tasklet_sweep_SCAN-SSA_dpu1_tasklets8_size262144,3341207,3475183,3408195,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry,tasklet_sweep_SCAN-SSA_dpu1_tasklets8_size262144/result.json,match
SCAN-SSA,tasklet_sweep,1,16,262144,"{""BL"":10,""TYPE"":""INT64""}",tasklet_sweep_SCAN-SSA_dpu1_tasklets16_size262144,3345599,3626487,3486043,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry,tasklet_sweep_SCAN-SSA_dpu1_tasklets16_size262144/result.json,match
